band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15548,3,"0,3",155480003,49.6306436343167,40.718287280519455,49.75519545121991,40.619169207332504,49.75847024510384,40.81513015897159,49.50571379509786,40.817276478606104,49.503184565305176,40.62130068306092,0.72259724,0.050754342,83.28135,27.0,0.8292432484293666
HSC-G,15548,4,"0,4",155480004,49.633415289441615,40.90492574976653,49.75831386312375,40.80579860385346,49.761607165857754,41.00176154581131,49.50813654310912,41.00392203775629,49.505593016158706,40.8079442157734,0.7018205,0.020515865,82.52118,27.0,0.652034353506284
HSC-G,15548,5,"0,5",155480005,49.636202633145714,41.09156415178785,49.761449898772106,40.992429994966535,49.764761867696585,41.18839076712123,49.51057302614022,41.190565465544786,49.508015080469775,40.99458977748265,0.6926541,0.004704275,-3.010532,27.0,0.4820056977273118
HSC-G,15548,6,"0,6",155480006,49.63900579899839,41.27819852450039,49.7646037079706,41.179059418649075,49.767934502214224,41.37501386113499,49.51302336131394,41.37720279998337,49.51045087397923,41.18123340594065,0.69289,0.013265275,11.94166,27.0,0.3304365630653169
HSC-G,15548,7,"0,7",155480007,49.641824922089405,41.46482490631916,49.76777544222738,41.36568291310989,49.77112522273241,41.56162686684715,49.51548766708843,41.563830079848266,49.51290051374362,41.367871139134195,0.68961596,0.020712757,-6.060057,27.0,0.23605347987368808
HSC-G,15548,8,"0,8",155480008,49.64462459894588,41.64910674623518,49.770965254777195,41.55229651729354,49.77425373671777,41.743561053546735,49.51790393067516,41.74577821611541,49.51536411815386,41.5544990157893,0.687318,0.022342559,-29.810873,27.0,0.2669942772824052
HSC-G,15548,103,"1,3",155480103,49.38747742434308,40.720092888612584,49.51547862555151,40.6212094135634,49.51804423185943,40.81718457347485,49.25908990533179,40.81883895382083,49.25728833959944,40.62285235162571,0.7133514,0.07235372,86.13415,27.0,0.8981493539568614
HSC-G,15548,104,"1,4",155480104,49.38956292718457,40.90674330695795,49.51792171582575,40.80785234094732,49.52050182482519,41.00382952574953,49.26081562538625,41.0054948306952,49.25900387468885,40.809506175758024,0.71029174,0.04207417,79.96394,27.0,0.7376753038852374
HSC-G,15548,105,"1,5",155480105,49.3916602362507,41.09339368702718,49.52037861526257,40.994497295854515,49.52297335026238,41.19047234519915,49.26255112996424,41.19214860109169,49.26072910769076,40.996162053943,0.7027176,0.010515874,26.343922,27.0,0.5927376887087432
HSC-G,15548,106,"1,6",155480106,49.39376945207457,41.28004006654851,49.52284944126571,41.18114031604656,49.5254589269764,41.37710906984492,49.26429650251386,41.37879630286069,49.262464121068504,41.182816023768666,0.6921091,0.014966326,23.191214,27.0,0.4776960088102253
